t,x1,y1,z1,x2,y2,z2,x3,y3,z3,vx1,vy1,vz1,vx2,vy2,vz2,vx3,vy3,vz3
0.1075,0.0,0.0,0.0,0.9927604073304401,0.01715835470148632,0.0017158354701486296,-0.9927604073304401,-0.01715835470148632,-0.0017158354701486296,0.0,0.0,0.0,-0.1350068231192389,0.15883339411788983,0.01588333941178898,0.1350068231192389,-0.15883339411788983,-0.01588333941178898
0.11,0.0,0.0,0.0,0.9924189277653043,0.017555369164917244,0.001755536916491722,-0.9924189277653043,-0.017555369164917244,-0.001755536916491722,0.0,0.0,0.0,-0.13817718465198492,0.15877795566432074,0.01587779556643207,0.13817718465198492,-0.15877795566432074,-0.01587779556643207
0.1125,0.0,0.0,0.0,0.9920695196333441,0.017952243375614112,0.001795224337561409,-0.9920695196333441,-0.017952243375614112,-0.001795224337561409,0.0,0.0,0.0,-0.14134968501381812,0.1587211913447921,0.015872119134479206,0.14134968501381812,-0.15872119134479207,-0.015872119134479206
0.115,0.0,0.0,0.0,0.9917121775231714,0.018348974014435263,0.0018348974014435237,-0.9917121775231714,-0.018348974014435263,-0.0018348974014435237,0.0,0.0,0.0,-0.14452437555162098,0.1586630975740581,0.01586630975740581,0.14452437555162098,-0.1586630975740581,-0.01586630975740581
0.11750000000000001,0.0,0.0,0.0,0.991346895894789,0.018745557753163167,0.001874555775316314,-0.991346895894789,-0.018745557753163167,-0.001874555775316314,0.0,0.0,0.0,-0.1477013078020507,0.15860367067719838,0.015860367067719837,0.1477013078020507,-0.15860367067719838,-0.015860367067719837
0.12,0.0,0.0,0.0,0.990973669079117,0.019141991254280045,0.0019141991254280023,-0.990973669079117,-0.019141991254280045,-0.0019141991254280023,0.0,0.0,0.0,-0.15088053349634925,0.15854290688898134,0.015854290688898133,0.15088053349634925,-0.15854290688898134,-0.015854290688898133
0.1225,0.0,0.0,0.0,0.9905924912775093,0.019538271170742017,0.001953827117074199,-0.9905924912775093,-0.019538271170742017,-0.001953827117074199,0.0,0.0,0.0,-0.15406210456519331,0.1584808023532108,0.01584808023532108,0.15406210456519331,-0.1584808023532108,-0.01584808023532108
0.125,0.0,0.0,0.0,0.9902033565612595,0.019934394145751683,0.001993439414575166,-0.9902033565612595,-0.019934394145751683,-0.001993439414575166,0.0,0.0,0.0,-0.15724607314358546,0.15841735312205502,0.0158417353122055,0.15724607314358546,-0.15841735312205502,-0.0158417353122055
0.1275,0.0,0.0,0.0,0.9898062588710963,0.020330356812529274,0.0020330356812529246,-0.9898062588710963,-0.020330356812529274,-0.0020330356812529246,0.0,0.0,0.0,-0.16043249157578696,0.1583525551553587,0.01583525551553587,0.16043249157578696,-0.1583525551553587,-0.01583525551553587
0.13,0.0,0.0,0.0,0.9894011920166682,0.02072615579408215,0.0020726155794082123,-0.9894011920166682,-0.02072615579408215,-0.0020726155794082123,0.0,0.0,0.0,-0.1636214124202934,0.15828640431993718,0.015828640431993717,0.1636214124202934,-0.15828640431993718,-0.015828640431993717
0.1325,0.0,0.0,0.0,0.9889881496760181,0.021121787702972766,0.0021121787702972745,-0.9889881496760181,-0.021121787702972766,-0.0021121787702972745,0.0,0.0,0.0,-0.16681288845485445,0.1582188963888529,0.015821889638885287,0.16681288845485445,-0.1582188963888529,-0.015821889638885287
0.135,0.0,0.0,0.0,0.9885671253950471,0.02151724914108501,0.0021517249141084992,-0.9885671253950471,-0.02151724914108501,-0.0021517249141084992,0.0,0.0,0.0,-0.1700069726815376,0.15815002704067418,0.015815002704067417,0.1700069726815376,-0.15815002704067418,-0.015815002704067417
0.1375,0.0,0.0,0.0,0.9881381125869679,0.02191253669938885,0.0021912536699388832,-0.9881381125869679,-0.02191253669938885,-0.0021912536699388832,0.0,0.0,0.0,-0.173203718331838,0.15807979185871585,0.015807979185871585,0.173203718331838,-0.15807979185871585,-0.015807979185871585
0.14,0.0,0.0,0.0,0.9877011045317489,0.022307646957703337,0.002230764695770332,-0.9877011045317489,-0.022307646957703337,-0.002230764695770332,0.0,0.0,0.0,-0.17640317887183454,0.15800818633026167,0.015800818633026167,0.17640317887183454,-0.15800818633026167,-0.015800818633026167
0.14250000000000002,0.0,0.0,0.0,0.9872560943755454,0.022702576484457913,0.002270257648445789,-0.9872560943755454,-0.022702576484457913,-0.002270257648445789,0.0,0.0,0.0,-0.17960540800739336,0.15793520584576845,0.015793520584576844,0.17960540800739336,-0.15793520584576845,-0.015793520584576844
0.145,0.0,0.0,0.0,0.9868030751301234,0.023097321836451915,0.0023097321836451894,-0.9868030751301234,-0.023097321836451915,-0.0023097321836451894,0.0,0.0,0.0,-0.18281045968941959,0.15786084569805153,0.01578608456980515,0.18281045968941959,-0.15786084569805153,-0.01578608456980515
0.1475,0.0,0.0,0.0,0.9863420396722714,0.023491879558612393,0.002349187955861237,-0.9863420396722714,-0.023491879558612393,-0.002349187955861237,0.0,0.0,0.0,-0.18601838811915872,0.1577851010814518,0.01577851010814518,0.18601838811915872,-0.1577851010814518,-0.01577851010814518
0.15,0.0,0.0,0.0,0.9858729807429214,0.02388624618371224,0.002388624618371222,-0.9858729807429214,-0.02388624618371224,-0.002388624618371222,0.0,0.0,0.0,-0.18922924775361746,0.15770796709108292,0.015770796709108293,0.18922924775361746,-0.15770796709108292,-0.015770796709108293
0.1525,0.0,0.0,0.0,0.9853958909426555,0.02428041823164282,0.0024280418231642804,-0.9853958909426555,-0.02428041823164282,-0.0024280418231642804,0.0,0.0,0.0,-0.19244309331244222,0.15762943872305102,0.0157629438723051,0.19244309331244222,-0.15762943872305102,-0.0157629438723051
0.155,0.0,0.0,0.0,0.984910762737619,0.02467439221010197,0.002467439221010195,-0.984910762737619,-0.02467439221010197,-0.002467439221010195,0.0,0.0,0.0,-0.19565997978233557,0.157549510870923,0.0157549510870923,0.19565997978233557,-0.157549510870923,-0.0157549510870923
0.1575,0.0,0.0,0.0,0.9844175884573455,0.025068164614053243,0.002506816461405322,-0.9844175884573455,-0.025068164614053243,-0.002506816461405322,0.0,0.0,0.0,-0.19887996242199046,0.157468178325926,0.0157468178325926,0.19887996242199046,-0.157468178325926,-0.0157468178325926
0.16,0.0,0.0,0.0,0.9839163602926194,0.02546173192526345,0.002546173192526343,-0.9839163602926194,-0.02546173192526345,-0.002546173192526343,0.0,0.0,0.0,-0.20210309676799348,0.15738543577656974,0.015738543577656975,0.20210309676799348,-0.15738543577656974,-0.015738543577656975
0.1625,0.0,0.0,0.0,0.9834070702948157,0.025855090612051414,0.0025855090612051396,-0.9834070702948157,-0.025855090612051414,-0.0025855090612051396,0.0,0.0,0.0,-0.20532943864055708,0.157301277807638,0.0157301277807638,0.20532943864055708,-0.157301277807638,-0.0157301277807638
0.165,0.0,0.0,0.0,0.9828897103752213,0.02624823712903378,0.002624823712903376,-0.9828897103752213,-0.02624823712903378,-0.002624823712903376,0.0,0.0,0.0,-0.2085590441493066,0.15721569889916429,0.015721569889916426,0.2085590441493066,-0.15721569889916429,-0.015721569889916426
0.1675,0.0,0.0,0.0,0.9823642723043399,0.026641167916867818,0.0026641167916867797,-0.9823642723043399,-0.026641167916867818,-0.0026641167916867797,0.0,0.0,0.0,-0.21179196969912478,0.15712869342539085,0.015712869342539085,0.21179196969912478,-0.15712869342539085,-0.015712869342539085
0.17,0.0,0.0,0.0,0.9818307477111774,0.027033879401991163,0.002703387940199114,-0.9818307477111774,-0.027033879401991163,-0.002703387940199114,0.0,0.0,0.0,-0.21502827199605562,0.1570402556537106,0.01570402556537106,0.21502827199605562,-0.1570402556537106,-0.01570402556537106
0.17250000000000001,0.0,0.0,0.0,0.9812891280825108,0.027426367996358454,0.0027426367996358433,-0.9812891280825108,-0.027426367996358454,-0.0027426367996358433,0.0,0.0,0.0,-0.21826800805327048,0.1569503797435906,0.01569503797435906,0.21826800805327048,-0.1569503797435906,-0.01569503797435906
0.17500000000000002,0.0,0.0,0.0,0.9807394047621388,0.027818630097174845,0.0027818630097174823,-0.9807394047621388,-0.027818630097174845,-0.0027818630097174823,0.0,0.0,0.0,-0.2215112351970981,0.15685905974547704,0.015685905974547703,0.2215112351970981,-0.15685905974547704,-0.015685905974547703
0.1775,0.0,0.0,0.0,0.9801815689501138,0.028210662086626256,0.0028210662086626233,-0.9801815689501138,-0.028210662086626256,-0.0028210662086626233,0.0,0.0,0.0,-0.2247580110731216,0.1567662895996803,0.01567662895996803,0.2247580110731216,-0.1567662895996803,-0.01567662895996803
0.18,0.0,0.0,0.0,0.9796156117019562,0.028602460331606436,0.002860246033160641,-0.9796156117019562,-0.028602460331606436,-0.002860246033160641,0.0,0.0,0.0,-0.22800839365234446,0.15667206313524004,0.015667206313524,0.22800839365234446,-0.15667206313524004,-0.015667206313524
0.1825,0.0,0.0,0.0,0.9790415239278508,0.028994021183440653,0.002899402118344063,-0.9790415239278508,-0.028994021183440653,-0.002899402118344063,0.0,0.0,0.0,-0.2312624412374275,0.15657637406876854,0.015657637406876854,0.2312624412374275,-0.15657637406876854,-0.015657637406876854
0.185,0.0,0.0,0.0,0.9784592963918238,0.029385340977606082,0.0029385340977606056,-0.9784592963918238,-0.029385340977606082,-0.0029385340977606056,0.0,0.0,0.0,-0.23452021246899996,0.1564792160032729,0.015647921600327287,0.23452021246899996,-0.1564792160032729,-0.015647921600327287
0.1875,0.0,0.0,0.0,0.9778689197109026,0.029776416033448765,0.0029776416033448737,-0.9778689197109026,-0.029776416033448765,-0.0029776416033448737,0.0,0.0,0.0,-0.2377817663320464,0.1563805824269538,0.01563805824269538,0.2377817663320464,-0.1563805824269538,-0.01563805824269538
0.19,0.0,0.0,0.0,0.9772703843542562,0.030167242653897114,0.0030167242653897086,-0.9772703843542562,-0.030167242653897114,-0.0030167242653897086,0.0,0.0,0.0,-0.24104716216237201,0.15628046671198162,0.015628046671198163,0.24104716216237201,-0.15628046671198162,-0.015628046671198163
0.1925,0.0,0.0,0.0,0.9766636806423172,0.030557817125171922,0.0030557817125171894,-0.9766636806423172,-0.030557817125171922,-0.0030557817125171894,0.0,0.0,0.0,-0.24431645965314872,0.1561788621132477,0.01561788621132477,0.24431645965314872,-0.1561788621132477,-0.01561788621132477
0.195,0.0,0.0,0.0,0.9760487987458858,0.0309481357164928,0.003094813571649277,-0.9760487987458858,-0.0309481357164928,-0.003094813571649277,0.0,0.0,0.0,-0.24758971886154424,0.15607576176709104,0.015607576176709102,0.24758971886154424,-0.15607576176709104,-0.015607576176709102
0.1975,0.0,0.0,0.0,0.9754257286852134,0.03133819467978103,0.0031338194679781,-0.9754257286852134,-0.03133819467978103,-0.0031338194679781,0.0,0.0,0.0,-0.25086700021543684,0.15597115868999917,0.015597115868999915,0.25086700021543684,-0.15597115868999917,-0.015597115868999915
0.2,0.0,0.0,0.0,0.9747944603290694,0.03172799024935874,0.003172799024935871,-0.9747944603290694,-0.03172799024935874,-0.003172799024935871,0.0,0.0,0.0,-0.25414836452021755,0.15586504577728263,0.015586504577728262,0.25414836452021755,-0.15586504577728263,-0.015586504577728262
0.2025,0.0,0.0,0.0,0.9741549833937871,0.03211751864164439,0.003211751864164436,-0.9741549833937871,-0.03211751864164439,-0.003211751864164436,0.0,0.0,0.0,-0.2574338729656826,0.15575741580172214,0.015575741580172213,0.2574338729656826,-0.15575741580172214,-0.015575741580172213
0.20500000000000002,0.0,0.0,0.0,0.9735072874422922,0.03250677605484449,0.0032506776054844456,-0.9735072874422922,-0.03250677605484449,-0.0032506776054844456,0.0,0.0,0.0,-0.2607235871330184,0.15564826141218777,0.015564826141218777,0.2607235871330184,-0.15564826141218777,-0.015564826141218777
0.20750000000000002,0.0,0.0,0.0,0.9728513618831103,0.03289575866864153,0.0032895758668641494,-0.9728513618831103,-0.03289575866864153,-0.0032895758668641494,0.0,0.0,0.0,-0.26401756900188156,0.15553757513222946,0.015553757513222945,0.26401756900188156,-0.15553757513222946,-0.015553757513222945
0.21,0.0,0.0,0.0,0.9721871959693574,0.033284462643878014,0.0033284462643877986,-0.9721871959693574,-0.033284462643878014,-0.0033284462643877986,0.0,0.0,0.0,-0.2673158809575753,0.15542534935863786,0.015542534935863786,0.2673158809575753,-0.15542534935863786,-0.015542534935863786
0.2125,0.0,0.0,0.0,0.9715147787977091,0.033672884122236686,0.0033672884122236653,-0.9715147787977091,-0.033672884122236686,-0.0033672884122236653,0.0,0.0,0.0,-0.27061858579832654,0.1553115763599751,0.01553115763599751,0.27061858579832654,-0.1553115763599751,-0.01553115763599751
0.215,0.0,0.0,0.0,0.9708340993073511,0.03406101922591662,0.003406101922591659,-0.9708340993073511,-0.03406101922591662,-0.003406101922591659,0.0,0.0,0.0,-0.27392574674266373,0.15519624827507436,0.015519624827507437,0.27392574674266373,-0.15519624827507436,-0.015519624827507437
0.2175,0.0,0.0,0.0,0.9701451462789108,0.03444886405730551,0.003444886405730548,-0.9701451462789108,-0.03444886405730551,-0.003444886405730548,0.0,0.0,0.0,-0.27723742743689955,0.15507935711150767,0.015507935711150765,0.27723742743689955,-0.15507935711150767,-0.015507935711150765
0.22,0.0,0.0,0.0,0.9694479083333681,0.03483641469864776,0.003483641469864773,-0.9694479083333681,-0.03483641469864776,-0.003483641469864773,0.0,0.0,0.0,-0.28055369196272006,0.15496089474402114,0.015496089474402114,0.28055369196272006,-0.15496089474402114,-0.015496089474402114
0.2225,0.0,0.0,0.0,0.968742373930948,0.035223667211708526,0.0035223667211708486,-0.968742373930948,-0.035223667211708526,-0.0035223667211708486,0.0,0.0,0.0,-0.28387460484488247,0.15484085291293703,0.015484085291293704,0.28387460484488247,-0.15484085291293703,-0.015484085291293704
0.225,0.0,0.0,0.0,0.9680285313699911,0.03561061763743357,0.003561061763743353,-0.9680285313699911,-0.03561061763743357,-0.003561061763743353,0.0,0.0,0.0,-0.2872002310590248,0.15471922322252146,0.015471922322252146,0.2872002310590248,-0.15471922322252146,-0.015471922322252146
0.2275,0.0,0.0,0.0,0.9673063687858074,0.03599726199560496,0.003599726199560493,-0.9673063687858074,-0.03599726199560496,-0.003599726199560493,0.0,0.0,0.0,-0.2905306360395884,0.15459599713931743,0.015459599713931743,0.2905306360395884,-0.15459599713931743,-0.015459599713931745
0.23,0.0,0.0,0.0,0.9665758741495071,0.03638359628449246,0.003638359628449243,-0.9665758741495071,-0.03638359628449246,-0.003638359628449243,0.0,0.0,0.0,-0.2938658856878567,0.15447116599044228,0.015447116599044228,0.2938658856878567,-0.15447116599044228,-0.015447116599044228
0.2325,0.0,0.0,0.0,0.965837035266813,0.03676961648050064,0.003676961648050061,-0.965837035266813,-0.03676961648050064,-0.003676961648050061,0.0,0.0,0.0,-0.2972060463801126,0.15434472096184862,0.015434472096184862,0.2972060463801126,-0.15434472096184862,-0.015434472096184862
0.23500000000000001,0.0,0.0,0.0,0.9650898397768528,0.037155318537811594,0.003715531853781156,-0.9650898397768528,-0.037155318537811594,-0.003715531853781156,0.0,0.0,0.0,-0.30055118497591615,0.15421665309654825,0.015421665309654825,0.30055118497591615,-0.15421665309654825,-0.015421665309654825
